game;CARPU;revenue;Downloads;RPD;LTV-West;LTV-East;sell_ad;in_app_purchases;metacritic;asian_share;sports;strategy;action;rpg;casino;casual;CPI;profit;ROI;retention;est_DAU;;;
Need for Speed™ No Limits;0.63;1000000;2000000;0.5;1.68;1.32;0;1;67;0.05;1;0;0;0;0;0;2.29;-1.66;-0.72489083;0.04;80000;;;
???????;66.52;1000000;10000;100;0;66.53;0;1;0;1;0;0;1;0;0;0;2.53;63.99;25.29249012;0.049;490;;;
Classic Slots™ - Casino Games ;7.36;1000000;100000;10;7.78;0;1;1;0;0;0;0;0;0;1;0;7.28;0.08;0.010989011;0.05;5000;;;
Happy Clinic ;2.26;1000000;200000;5;3.14;0;1;1;0;0.11;0;0;0;0;0;1;3.28;-1.02;-0.31097561;0.052;10400;;;
My Cafe — Restaurant Game;1.36;1000000;500000;2;3.26;2.04;1;1;0;0;0;0;0;0;0;1;3.28;-1.92;-0.585365854;0.052;26000;;;
Football Master 2-Soccer Star;3.97;1000000;200000;5;1.42;17.38;1;1;0;0.95;1;0;0;0;0;0;2.29;1.68;0.733624454;0.04;8000;;;
Pixel Gun 3D - Battle Royale ;1.29;1000000;1000000;1;2.46;1.72;1;1;0;0.14;0;0;1;0;0;0;2.53;-1.24;-0.490118577;0.049;49000;;;
SHIN MEGAMI TENSEI L Dx2;35.88;500000;10000;50;0;0;1;1;0;0.93;0;0;0;1;0;0;4.4;31.48;7.154545455;0.049;490;;;
Bloons TD 6;0.31;20000;100000;0.2;0;0;0;1;0;0;0;1;0;0;0;0;3.81;-3.5;-0.918635171;0.06;6000;;;
Pirates of the Caribbean: ToW;8.36;1000000;100000;10;17.65;19.15;1;1;0;0.25;0;1;0;0;0;0;3.81;4.55;1.194225722;0.06;6000;;;
Kim Kardashian: Hollywood;5.25;1000000;100000;10;7.42;0;1;1;0;0;0;0;0;0;0;1;3.28;1.97;0.600609756;0.052;5200;;;
DC Worlds Collide;1.86;200000;100000;2;0;1.94;0;1;0;1;0;0;0;1;0;0;4.4;-2.54;-0.577272727;0.049;4900;;;
Angry Birds Friends;0.83;1000000;1000000;1;4.54;0;1;1;65;0.01;0;0;0;0;0;1;3.28;-2.45;-0.74695122;0.052;52000;;;
????????????;11.64;1000000;20000;50;0;11.64;0;1;0;1;0;0;1;0;0;0;2.53;9.11;3.600790514;0.049;980;;;
MARVEL Future Revolution;2.36;1000000;200000;5;3.98;7.38;0;1;78;0.23;0;0;0;1;0;0;4.4;-2.04;-0.463636364;0.049;9800;;;
Hidden City: Mystery Games;5.59;1000000;50000;20;6.59;8.52;1;1;0;0.27;0;0;1;0;0;0;2.53;3.06;1.209486166;0.049;2450;;;
???? ????? 3 | ????? ??????;6.18;2000000;100000;20;13.09;0;0;1;0;0;0;1;0;0;0;0;3.81;2.37;0.622047244;0.06;6000;;;
Standoff 2;0.97;1000000;2000000;0.5;0.83;0.94;1;1;0;0;0;0;1;0;0;0;2.53;-1.56;-0.616600791;0.049;98000;;;
Dragon Raja ;5.32;1000000;2000000;0.5;10.2;0;1;1;0;0.1;0;0;0;1;0;0;4.4;0.92;0.209090909;0.049;98000;;;
Love Live! All Stars ;53.79;1000000;20000;50;0;81.01;0;1;0;0.89;0;0;0;0;0;1;3.28;50.51;15.39939024;0.052;1040;;;
2X;13.17;1000000;20000;50;0;13.17;1;0;0;1;0;0;0;1;0;0;4.4;8.77;1.993181818;0.049;980;;;
Random Dice: Defense ;7.64;1000000;200000;5;7.12;11.32;1;1;0;0.63;0;1;0;0;0;0;3.81;3.83;1.005249344;0.06;12000;;;
Dead by Daylight Mobile;0;200000;1000000;0.2;0;0.24;1;1;0;1;0;0;1;0;0;0;2.53;-2.53;-1;0.049;49000;;;
Dynasty Warriors: Overlords;15.6;1000000;5000;200;0;16.8;0;1;0;1;0;0;1;0;0;0;2.53;13.07;5.166007905;0.049;245;;;
DISSIDIA FINAL FANTASY OO;31.9;1000000;20000;50;17.61;57.5;0;1;0;0.57;0;0;0;1;0;0;4.4;27.5;6.25;0.049;980;;;
Land of Empires: Immortal;2.31;1000000;200000;5;0;0;0;1;0;0;0;1;0;0;0;0;3.81;-1.5;-0.393700787;0.06;12000;;;
Big Farm: Mobile Harvest;2.37;1000000;200000;5;4.47;0;1;1;0;0;0;0;0;0;0;1;3.28;-0.91;-0.277439024;0.052;10400;;;
Hill Climb Racing 2;0.22;500000;2000000;0.25;0.75;0;1;1;0;0;0;0;0;0;0;1;3.28;-3.06;-0.932926829;0.052;104000;;;
Empire: Four Kingdoms;6.13;1000000;20000;50;15.05;0;1;1;0;0;0;1;0;0;0;0;3.81;2.32;0.608923885;0.06;1200;;;
